address,metadata,operatorCount,stakerCount,strategyAndShare,ethTvl
0x870679e138bcdf293b7ff14dd44b70fc97e12fc0,"{'name': 'EigenDA', 'website': 'https://docs.eigenlayer.xyz/eigenda/overview/', 'description': ""EigenDA is a data availability solution with 10 MiB/s of write throughput and the lowest cost in its class. The system's design is inspired by Danksharding, which promises to scale Ethereum's DA beyond EIP-4844. EigenDA is available today. Learn more at https://docs.eigenlayer.xyz/eigenda/overview/"", 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x870679e138bcdf293b7ff14dd44b70fc97e12fc0/logo.png', 'twitter': 'https://twitter.com/eigen_da'}",258,138789,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '94778250839827927802741', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '655144681124865181080', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '36611885754316193541400', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '42591923703286877696647', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '14926149593280196654679', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '16180725993179434679930', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '65712197215331274461144', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '24951974474722266594783', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '568789966126760567357220', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101506412780249082466134', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13935656841844905344282', '0xacb55c530acdb2849e6d4f36992cd8c9d50ed8f7': '50865193089890159014502960', '0xae60d8180437b5c34bb956822ac2710972584473': '9830236384533998980160', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '2839810433830007000000000'}",3850423.0597822233
0x23221c5bb90c7c57ecc1e75513e2e4257673f0ef,"{'name': 'eoracle', 'website': 'https://www.eoracle.io', 'description': 'The modular and programmable oracle network secured by Ethereum, built with Eigenlayer.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x23221c5bb90c7c57ecc1e75513e2e4257673f0ef/logo.png', 'twitter': 'https://twitter.com/eoracle_network'}",103,104133,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '87542237513204485286226', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '453426163330786862109', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '29345516713421759311844', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '31733513045205525919794', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '12679919809176655147903', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '15058727228462797836858', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '65638801982876366798569', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '19121450316767254817728', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '416535556698424057203923', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101335038466199156386765', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13827661588563642934808', '0xae60d8180437b5c34bb956822ac2710972584473': '84189723010221385620', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1603026433830007000000000'}",2413862.0730274185
0xe5445838c475a2980e6a88054ff1514230b83aeb,"{'name': 'Automata Multi-Prover AVS', 'website': 'https://ata.network', 'description': 'Automata Network explores the development of TEE Coprocessors in the direction of a Multi-Prover AVS on EigenLayer. Decentralized systems bootstrap a secondary TEE Prover to minimize network-breaking bugs and achieve better security and decentralization. The approach is augmented by the introduction of TEE Committees, with the Multi-Prover AVS dually bounded by machine trust and cryptoeconomic security.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0xe5445838c475a2980e6a88054ff1514230b83aeb/logo.png', 'twitter': 'https://twitter.com/automatanetwork'}",64,102029,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '85603954328946697121705', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '634995769428541618515', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '28907851034586318015351', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '30978866966918832494726', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '11947470734480351891053', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '12015381975635270538795', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '53630609119603998308185', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '18685520157175722310759', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '391766478591823522151395', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101322980048272785030258', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13818664506406013343739', '0xae60d8180437b5c34bb956822ac2710972584473': '67557755597125124994', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1036210433830007000000000'}",1802299.2062207302
0xd25c2c5802198cb8541987b73a8db4c9bcae5cc7,"{'name': 'Witness Chain', 'website': 'https://www.witnesschain.com', 'description': 'The EigenLayer AVS for DePIN coordination. It is the first physical state consensus protocol which is unifying a siloed DePIN economy. Through WitnessChain, a shared economy of integrated physical assets is unlocked, facilitating the exchange of resources like computing power, energy, storage, and beyond.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0xd25c2c5802198cb8541987b73a8db4c9bcae5cc7/logo.png', 'twitter': 'https://twitter.com/witnesschain'}",74,91487,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '82089891851244547511827', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '635094965908620616435', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '28689505589498851905542', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '30903599156770889090372', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '11729502224979805942602', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '12804821281549220314506', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '60031276195426366798569', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '18425549697408447362994', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '413370657061449835853203', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101317240724262351889540', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13814708137965113134113', '0xae60d8180437b5c34bb956822ac2710972584473': '9782640919666090589514', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1586386433830007000000000'}",2387163.5903934375
0xf7fcff55d5fdaf2c3bbeb140be5e62a2c7d26db3,"{'name': 'OpenLayer', 'website': 'https://openlayer.tech/', 'description': 'OpenLayer is the first modular authentic data layer designed to modernize traditional data flows. Contributed to by everyone and every device, OpenLayer offers a modular solution that coordinates data collection, validation, and transformation, catering both web2 and web3 companies. OpenLayer is backed by a16z CSX, Geometry Ventures, LongHash Ventures, and various renowned angel investors.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0xf7fcff55d5fdaf2c3bbeb140be5e62a2c7d26db3/logo.png', 'twitter': 'https://twitter.com/OpenLayerHQ'}",49,90068,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '81282950374793476713400', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '480046977921449325532', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '28394406347337116403423', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '30907774749962273685698', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '11246646562006283396228', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '11697433041706309871748', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '60009978564126366798569', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '18371275204590948210286', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '408037447324217436960422', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101316070162264873093974', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13814348669230042402974', '0xae60d8180437b5c34bb956822ac2710972584473': '65603673567190547423', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1225042433830007000000000'}",2007207.3458817257
0x9fc952bdcbb7daca7d420fa55b942405b073a89d,"{'name': 'Brevis coChain AVS', 'website': 'https://brevis.network', 'description': 'Brevis is a smart ZK coprocessor that empowers smart contracts to read from and utilize the full historical on-chain data from any chain, and run customizable computations in a completely trust-free way to power use cases such as data-driven DeFi, zkBridge, ZK identity and more. Using EigenLayer, Brevis coChain AVS enable a new crypto-economics security with ZK fraud proof ZK Coprocessor model. With Brevis AVS, developers can build data-driven dApps that operate at a significantly lower cost when compared to the pure-ZK model.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x9fc952bdcbb7daca7d420fa55b942405b073a89d/logo.png', 'twitter': 'https://twitter.com/brevis_zk'}",71,89755,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '40887650765867723799816', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '498935960395744302584', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '23303263519891125728262', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '16603710572022540455018', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '6474102356207640680618', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '11894974190869492420449', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '47523116641808631535362', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '16674078607038874840528', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '117836998433039238327120', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '65830460958345869610502', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '4107141008134430002998', '0xae60d8180437b5c34bb956822ac2710972584473': '9764954478460678371595', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1511114433830007000000000'}",1884375.8662795515
0x22cac0e6a1465f043428e8aef737b3cb09d0eeda,"{'name': 'Lagrange ZK Prover Network', 'website': 'https://www.lagrange.dev/', 'description': 'Decentralized network for reliable generation of different ZK proofs with high liveness guarantees', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x22cac0e6a1465f043428e8aef737b3cb09d0eeda/logo.png', 'twitter': 'https://twitter.com/lagrangedev'}",47,88870,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '82229483995422650534486', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '633256971988208761673', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '28360207567089062059400', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '31471857439216471945939', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '11006396121874111370901', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '60000694498296366798243', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '18672635640397363986941', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '411443903707106106322162', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '101314540931971489326448', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1259666433830007000000000'}",2021219.4977286328
0x6026b61bdd2252160691cb3f6005b6b72e0ec044,"{'name': 'Xterio Mach (Powered by AltLayer)', 'website': 'https://xter.io/', 'description': 'Xterio is a Web3 game developer and publisher founded by veterans of the game industry. Our mission is to create deep and rich gaming experiences driven by player ownership. We create rich worlds, stories, and characters to bring you amazing experiences. We make games because we love them and strive to make every Xterio game memorable and FUN!', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x6026b61bdd2252160691cb3f6005b6b72e0ec044/logo.png', 'twitter': 'https://twitter.com/XterioGames'}",42,85066,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '60305392879237799237382', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '394415520399949002759', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '29902644117149264384080', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '32739243923759061842045', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '10720793306434098107125', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '11966683681478900306629', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '41650370499956388998452', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '4670803044068893379882', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '128376227846164601491206', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '989284594224789457014', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13804187263922936957427', '0xae60d8180437b5c34bb956822ac2710972584473': '56901237131623895240', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1084089433830007000000000'}",1430451.134609451
0x71a77037870169d47aad6c2c9360861a4c0df2bf,"{'name': 'AltLayer MACH', 'website': 'https://altlayer.io/', 'description': 'AltLayer MACH is a fast finality AVS for OP Mainnet and Arbitrum One. As an AVS, users can delegate ETH or LSTs to any of the registered operators. The economic collateral deposited to secure MACH is then used to attest to the validity of a given rollup’s state; thereby offering a fast finality layer for rollups. It will offer the following core services to end users on these rollups: fast confirmation for rollup transactions, crypto-economic security to detect any malicious network participants and decentralized validation of rollup states.', 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x71a77037870169d47aad6c2c9360861a4c0df2bf/logo.png', 'twitter': 'https://twitter.com/alt_layer'}",42,85066,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '60305392879237799237382', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '394415520399949002759', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '29902644117149264384080', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '32739243923759061842045', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '10720793306434098107125', '0x57ba429517c3473b6d34ca9acd56c0e735b94c02': '11966683681478900306629', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '41650370499956388998452', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '4670803044068893379882', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '128376227846164601491206', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '989284594224789457014', '0xa4c637e0f704745d182e4d38cab7e7485321d059': '13804187263922936957427', '0xae60d8180437b5c34bb956822ac2710972584473': '56901237131623895240', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1084089433830007000000000'}",1430451.134609451
0x35f4f28a8d3ff20eed10e087e8f96ea2641e6aa2,"{'name': 'Lagrange State Committees', 'website': 'https://www.lagrange.dev/', 'description': ""Lagrange State Committees are a ZK light client protocol for optimistic rollups that are designed through combining EigenLayer's restaked security with Lagrange's ZK Coprocessor."", 'logo': 'https://mainnet-ethereum-avs-metadata.s3.amazonaws.com/0x35f4f28a8d3ff20eed10e087e8f96ea2641e6aa2/logo.png', 'twitter': 'https://twitter.com/lagrangedev'}",61,83734,"{'0x0fe4f44bee93503346a3ac9ee5a26b130a5796d6': '72061819482820235149561', '0x13760f50a9d7377e4f20cb8cf9e4c26586c658ff': '365607365578744805482', '0x1bee69b7dfffa4e2d53c2a2df135c388ad25dcd2': '17894461695959639874216', '0x298afb19a105d59e74658c4c334ff360bade6dd2': '28245444519940550460954', '0x54945180db7943c0ed0fee7edab2bd24620256bc': '9150605623324367157395', '0x7ca911e83dabf90c90dd3de5411a10f1a6112184': '63747630900231094319415', '0x8ca7a5d6f3acd3a7a8bc468a8cd0fb14b6bd28b6': '17485741962387333727914', '0x93c4b944d05dfe6df7645a86cd2206016c51564d': '340211707622345358674046', '0x9d7ed45ee2e8fc5482fa2428f15c971e6369011d': '66081634583799335420244', '0xbeac0eeeeeeeeeeeeeeeeeeeeeeeeeeeeeebeac0': '1516690433830007000000000'}",2145407.9184218105
